PMB Code,PMB Description,Treatment Component,ICD10 Code,ICD10 Description ,Comments
,,,S02.81,"Fractures of other skull and facial bones,open",
,,,S02.90,"Fracture of skull and facial bones, part unspecified,closed",
,,,S02.91,"Fracture of skull and facial bones, part unspecified,open",
,,,S07.1,Crushing injury of skull,
,,,S07.8,Crushing injury of other parts of head,
,,,S07.9,"Crushing injury of head, part unspecified",
,,,T02.00,"Fractures involving head with neck, closed",
,,,T90.2,Sequelae of fracture of skull and facial bones,
213A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,G81.0,Flaccid hemiplegia,"Note that the functional status described above must be due to a non-progressive neurological or spinal condition or injury, therefore typically requires more than one ICD-10 code, or other supportive evidence to correctly identify the condition.
See note 4 above"
,,,G81.1,Spastic hemiplegia,
,,,G81.9,"Hemiplegia, unspecified",
,,,G80.0,Spastic quadriplegic cerebral palsy,
,,,G80.1,Spastic diplegic cerebral palsy,
,,,G80.2,Spastic hemiplegic cerebral palsy,
,,,G80.3,Dyskinetic cerebral palsy,
,,,G80.4,Ataxic cerebral palsy,
,,,G80.8,Other cerebral palsy,
,,,G80.9,"Cerebral palsy, unspecified",
,,,G82.0,Flaccid paraplegia,
,,,G82.1,Spastic paraplegia,
,,,G82.2,"Paraplegia, unspecified",
,,,G82.3,Flaccid tetraplegia,
,,,G82.4,Spastic tetraplegia,
,,,G82.5,"Tetraplegia, unspecified",
,,,N31.0,"Uninhibited neuropathic bladder, not elsewhere classified",
,,,N31.1,"Reflex neuropathic bladder, not elsewhere classified",
,,,N31.2,"Flaccid neuropathic bladder, not elsewhere classified",
,,,N31.8,Other neuromuscular dysfunction of bladder,
,,,R13,Dysphagia,
,,,R06.0,Dyspnoea,
,,,R06.8,Other and unspecified abnormalities of breathing,
,,,R32,Unspecified urinary incontinence,
,,,R33,Retention of urine,
,,,R15,Faecal incontinence,
,,,S34.0,Concussion and oedema of lumbar spinal cord,
,,,S34.1,Other injury of lumbar spinal cord,
,,,S34.2,Injury of nerve root of lumbar and sacral spine,
,,,S34.3,Injury of cauda equina,
,,,S34.4,Injury of lumbosacral plexus,
,,,S34.5,"Injury of lumbar, sacral and pelvic sympathetic nerves",
,,,S34.6,"Injury of peripheral nerve(s) of abdomen, lower back and pelvis",
,,,S34.8,"Injury of other and unspecified nerves at abdomen, lower back and pelvis level",
83A,Encephalocele; congenital hydrocephalus,Shunt; surgery,Q01.0,Frontal encephalocele,
,,,Q01.1,Nasofrontal encephalocele,
,,,Q01.2,Occipital encephalocele,
,,,Q01.8,Encephalocele of other sites,
,,,Q01.9,"Encephalocele, unspecified",
,,,Q03.0,Malformations of aqueduct of Sylvius,
,,,Q03.1,Atresia of foramina of Magendie and Luschka,
,,,Q03.8,Other congenital hydrocephalus,
,,,Q03.9,"Congenital hydrocephalus, unspecified",
902A,"Epilepsy (status epilepticus, initial diagnosis, candidate for neurosurgery)",Medical management; ventilation; neurosurgery,G40.0,Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset,
,,,G40.0+F02.8*,Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset/Dementia in other specified diseases classified elsewhere,
,,,G40.1,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures,
,,,G40.1+F02.8*,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures/Dementia in other specified diseases classified elsewhere,
,,,G40.2,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures,
,,,G40.2+F02.8*,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures/Dementia in other specified diseases classified elsewhere,
,,,G40.3,Generalized idiopathic epilepsy and epileptic syndromes,
,,,G40.3+F02.8*,Generalized idiopathic epilepsy and epileptic syndromes/Dementia in other specified diseases classified elsewhere,
,,,G40.4,Other generalized epilepsy and epileptic syndromes,
,,,G40.4+F02.8*,Other generalized epilepsy and epileptic syndromes/Dementia in other specified diseases classified elsewhere,
,,,G40.5,Special epileptic syndromes,
,,,G40.5+F02.8*,Special epileptic syndromes/Dementia in other specified diseases classified elsewhere,
,,,G40.6,"Grand mal seizures, unspecified (with or without petit mal)",
,,,G40.6+F02.8*,"Grand mal seizures, unspecified (with or without petit mal)/Dementia in other specified diseases classified elsewhere",
,,,G40.7,"Petit mal, unspecified, without grand mal seizures",
,,,G40.7+F02.8*,"Petit mal, unspecified, without grand mal seizures/Dementia in other specified diseases classified elsewhere",
,,,G40.8,Other epilepsy,
,,,G40.8+F02.8*,Other epilepsy/Dementia in other specified diseases classified elsewhere,
,,,G40.9,"Epilepsy, unspecified",
,,,G40.9+F02.8*,"Epilepsy, unspecified/Dementia in other specified diseases classified elsewhere",
,,,G41.0,Grand mal status epilepticus,
,,,G41.1,Petit mal status epilepticus,
,,,G41.2,Complex partial status epilepticus,
,,,G41.8,Other status epilepticus,
,,,G41.9,"Status epilepticus, unspecified",
211A,Intraspinal and Intracranial abscess,Medical and surgical management,B43.1,Phaeomycotic brain abscess,
,,,A06.6,Amoebic brain abscess (G07*),
,,,A06.6+G07*,Amoebic brain abscess / Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,
,,,A17.1,Meningeal tuberculoma (G07*),
,,,A17.1+G07*,Meningeal tuberculoma / Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,
,,,A17.8+G07*,Other tuberculosis of nervous system / Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,
,,,B65.0+G07*,Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis]/Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,
,,,B65.1+G07*,Schistosomiasis due to Schistosoma mansoni [intestinal schistosomiasis]/Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,
,,,B65.2+G07*,Schistosomiasis due to Schistosoma japonicum/Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,
,,,B65.3+G07*,Cercarial dermatitis/Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,
,,,B65.8+G07*,Other schistosomiases/Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,
,,,B65.9+G07*,"Schistosomiasis, unspecified/Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere",
,,,G06.0,Intracranial abscess and granuloma,
,,,G06.1,Intraspinal abscess and granuloma,
,,,G06.2,Extradural and subdural abscess unspecified,
905A,Meningitis – acute and subacute,Medical and surgical management,A17.0,Tuberculous meningitis (G01*),
,,,A17.0+G01*,Tuberculous meningitis / Meningitis in bacterial diseases classified elsewhere,
,,,A32.1,Listerial meningitis and meningoencephalitis,
,,,A32.1+G01*,Listerial meningitis and meningoencephalitis/Meningitis in bacterial diseases classified elsewhere,
,,,A39.0,Meningococcal meningitis (G01*),
,,,A39.0+G01*,Meningococcal meningitis (G01*)/Meningitis in bacterial diseases classified elsewhere,
